nohup: ignoring input
=================================================================
==================== PARAMETER CONFIGURATION ====================
=================================================================
model=LeNet5_Original (rotated)
criterion=CrossEntropy
C=64
lr=0.001
lambda_reg=0.0002
alpha=0.6
[T1=lambda_reg*alpha=0.00012]
[T2=lambda_reg*(1-alpha)=8e-05]
subgradient_step=100000.0
w0=-0.031
r=2
bucket_zero=32
BestQuantization_target_acc=99.8
final_target_acc=99.7
target_zstd_ratio=0.0179
min_xi=0
max_xi=1
upper_c=1663370
lower_c=0.01
c1=10
c2=1000
first_best_indices=20
accuracy_tollerance=0.2
zeta=50000
l=0.5
n_epochs=100
max_iterations=15
train_optimizer=ADAM
entropy_optimizer=FISTA
pruning=Y
QuantizationType=center
sparsity_threshold=0.001
------------------------------------------------------------
delta = 7.1
Epoch 1: A_NQ = 94.41, H_NQ = 981900, A_Q = 93.32, H_Q = 53223, zstd_ratio = 3.51%, sparse_ratio = 2.73%, sparsity = 87.27% , sparse_accuracy = 93.31, training_time = 1054s
Epoch 51: A_NQ = 98.5, H_NQ = 981668, A_Q = 98.61, H_Q = 19794, zstd_ratio = 1.48%, sparse_ratio = 1.08%, sparsity = 96.92% , sparse_accuracy = 98.61, training_time = 468s
Epoch 52: A_NQ = 98.75, H_NQ = 981888, A_Q = 98.69, H_Q = 19639, zstd_ratio = 1.47%, sparse_ratio = 1.07%, sparsity = 96.94% , sparse_accuracy = 98.66, training_time = 459s
Epoch 53: A_NQ = 98.82, H_NQ = 981872, A_Q = 98.61, H_Q = 20390, zstd_ratio = 1.49%, sparse_ratio = 1.10%, sparsity = 96.79% , sparse_accuracy = 98.62, training_time = 458s
Epoch 54: A_NQ = 98.38, H_NQ = 981874, A_Q = 98.04, H_Q = 19548, zstd_ratio = 1.45%, sparse_ratio = 1.06%, sparsity = 96.97% , sparse_accuracy = 98.02, training_time = 459s
Epoch 55: A_NQ = 98.46, H_NQ = 981800, A_Q = 98.32, H_Q = 19835, zstd_ratio = 1.46%, sparse_ratio = 1.07%, sparsity = 96.90% , sparse_accuracy = 98.3, training_time = 456s
Epoch 56: A_NQ = 98.51, H_NQ = 981874, A_Q = 98.56, H_Q = 19726, zstd_ratio = 1.46%, sparse_ratio = 1.07%, sparsity = 96.93% , sparse_accuracy = 98.56, training_time = 462s
Epoch 57: A_NQ = 98.15, H_NQ = 981794, A_Q = 98.19, H_Q = 19698, zstd_ratio = 1.47%, sparse_ratio = 1.08%, sparsity = 96.94% , sparse_accuracy = 98.19, training_time = 465s
Epoch 58: A_NQ = 98.52, H_NQ = 981888, A_Q = 98.54, H_Q = 19622, zstd_ratio = 1.46%, sparse_ratio = 1.07%, sparsity = 96.95% , sparse_accuracy = 98.56, training_time = 466s
Epoch 59: A_NQ = 98.51, H_NQ = 981852, A_Q = 98.26, H_Q = 19979, zstd_ratio = 1.48%, sparse_ratio = 1.08%, sparsity = 96.86% , sparse_accuracy = 98.26, training_time = 471s
Epoch 60: A_NQ = 98.4, H_NQ = 981884, A_Q = 98.42, H_Q = 20114, zstd_ratio = 1.48%, sparse_ratio = 1.08%, sparsity = 96.84% , sparse_accuracy = 98.42, training_time = 476s
Epoch 61: A_NQ = 98.81, H_NQ = 981818, A_Q = 98.7, H_Q = 19955, zstd_ratio = 1.47%, sparse_ratio = 1.08%, sparsity = 96.87% , sparse_accuracy = 98.71, training_time = 471s
Epoch 62: A_NQ = 98.66, H_NQ = 981834, A_Q = 98.51, H_Q = 19942, zstd_ratio = 1.47%, sparse_ratio = 1.08%, sparsity = 96.87% , sparse_accuracy = 98.53, training_time = 470s
Epoch 63: A_NQ = 98.57, H_NQ = 981846, A_Q = 98.42, H_Q = 20243, zstd_ratio = 1.48%, sparse_ratio = 1.09%, sparsity = 96.79% , sparse_accuracy = 98.41, training_time = 467s
Epoch 64: A_NQ = 98.85, H_NQ = 981798, A_Q = 98.48, H_Q = 19781, zstd_ratio = 1.47%, sparse_ratio = 1.08%, sparsity = 96.90% , sparse_accuracy = 98.48, training_time = 477s
Epoch 65: A_NQ = 98.72, H_NQ = 981770, A_Q = 98.51, H_Q = 19902, zstd_ratio = 1.48%, sparse_ratio = 1.08%, sparsity = 96.87% , sparse_accuracy = 98.55, training_time = 474s
Epoch 66: A_NQ = 98.53, H_NQ = 981802, A_Q = 98.3, H_Q = 19627, zstd_ratio = 1.47%, sparse_ratio = 1.07%, sparsity = 96.93% , sparse_accuracy = 98.3, training_time = 473s
Epoch 67: A_NQ = 98.49, H_NQ = 981870, A_Q = 98.5, H_Q = 19927, zstd_ratio = 1.46%, sparse_ratio = 1.07%, sparsity = 96.86% , sparse_accuracy = 98.48, training_time = 478s
Epoch 68: A_NQ = 98.73, H_NQ = 981804, A_Q = 98.83, H_Q = 19604, zstd_ratio = 1.48%, sparse_ratio = 1.07%, sparsity = 96.93% , sparse_accuracy = 98.82, training_time = 476s
Epoch 69: A_NQ = 98.77, H_NQ = 981880, A_Q = 98.77, H_Q = 19570, zstd_ratio = 1.45%, sparse_ratio = 1.06%, sparsity = 96.94% , sparse_accuracy = 98.78, training_time = 492s
Epoch 70: A_NQ = 98.46, H_NQ = 981874, A_Q = 98.4, H_Q = 19359, zstd_ratio = 1.42%, sparse_ratio = 1.05%, sparsity = 96.99% , sparse_accuracy = 98.38, training_time = 472s
Epoch 71: A_NQ = 98.36, H_NQ = 981880, A_Q = 98.3, H_Q = 19681, zstd_ratio = 1.43%, sparse_ratio = 1.07%, sparsity = 96.91% , sparse_accuracy = 98.34, training_time = 468s
Epoch 72: A_NQ = 98.64, H_NQ = 981876, A_Q = 98.6, H_Q = 19585, zstd_ratio = 1.46%, sparse_ratio = 1.07%, sparsity = 96.93% , sparse_accuracy = 98.57, training_time = 468s
Epoch 73: A_NQ = 98.62, H_NQ = 981892, A_Q = 98.84, H_Q = 19606, zstd_ratio = 1.44%, sparse_ratio = 1.06%, sparsity = 96.93% , sparse_accuracy = 98.85, training_time = 469s
Epoch 74: A_NQ = 98.33, H_NQ = 981890, A_Q = 98.39, H_Q = 19316, zstd_ratio = 1.44%, sparse_ratio = 1.05%, sparsity = 96.99% , sparse_accuracy = 98.4, training_time = 469s
Epoch 75: A_NQ = 98.32, H_NQ = 981864, A_Q = 98.6, H_Q = 19078, zstd_ratio = 1.43%, sparse_ratio = 1.05%, sparsity = 97.04% , sparse_accuracy = 98.6, training_time = 470s
Epoch 76: A_NQ = 98.55, H_NQ = 981800, A_Q = 98.64, H_Q = 19257, zstd_ratio = 1.42%, sparse_ratio = 1.05%, sparsity = 97.00% , sparse_accuracy = 98.65, training_time = 472s
Epoch 77: A_NQ = 98.67, H_NQ = 981874, A_Q = 98.71, H_Q = 19405, zstd_ratio = 1.45%, sparse_ratio = 1.05%, sparsity = 96.96% , sparse_accuracy = 98.71, training_time = 493s
Epoch 78: A_NQ = 98.55, H_NQ = 981780, A_Q = 98.59, H_Q = 19675, zstd_ratio = 1.44%, sparse_ratio = 1.06%, sparsity = 96.90% , sparse_accuracy = 98.6, training_time = 534s
Epoch 79: A_NQ = 98.72, H_NQ = 981874, A_Q = 98.75, H_Q = 19975, zstd_ratio = 1.45%, sparse_ratio = 1.07%, sparsity = 96.84% , sparse_accuracy = 98.75, training_time = 652s
Epoch 80: A_NQ = 98.29, H_NQ = 981840, A_Q = 98.29, H_Q = 19429, zstd_ratio = 1.45%, sparse_ratio = 1.06%, sparsity = 96.95% , sparse_accuracy = 98.26, training_time = 640s
Epoch 81: A_NQ = 98.61, H_NQ = 981850, A_Q = 98.72, H_Q = 19820, zstd_ratio = 1.45%, sparse_ratio = 1.06%, sparsity = 96.87% , sparse_accuracy = 98.74, training_time = 540s
Epoch 82: A_NQ = 98.24, H_NQ = 981864, A_Q = 98.12, H_Q = 19190, zstd_ratio = 1.42%, sparse_ratio = 1.04%, sparsity = 97.00% , sparse_accuracy = 98.12, training_time = 479s
Epoch 83: A_NQ = 98.62, H_NQ = 981860, A_Q = 98.55, H_Q = 18939, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.05% , sparse_accuracy = 98.55, training_time = 484s
Epoch 84: A_NQ = 98.26, H_NQ = 981665, A_Q = 98.72, H_Q = 19384, zstd_ratio = 1.44%, sparse_ratio = 1.04%, sparsity = 96.96% , sparse_accuracy = 98.7, training_time = 478s
Epoch 85: A_NQ = 98.79, H_NQ = 981894, A_Q = 98.87, H_Q = 19895, zstd_ratio = 1.45%, sparse_ratio = 1.07%, sparsity = 96.85% , sparse_accuracy = 98.86, training_time = 577s
Epoch 86: A_NQ = 98.66, H_NQ = 981836, A_Q = 98.38, H_Q = 19307, zstd_ratio = 1.44%, sparse_ratio = 1.05%, sparsity = 96.97% , sparse_accuracy = 98.39, training_time = 562s
Epoch 87: A_NQ = 98.12, H_NQ = 981884, A_Q = 98.79, H_Q = 18656, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.13% , sparse_accuracy = 98.81, training_time = 526s
Epoch 88: A_NQ = 98.47, H_NQ = 981904, A_Q = 98.58, H_Q = 18682, zstd_ratio = 1.41%, sparse_ratio = 1.02%, sparsity = 97.11% , sparse_accuracy = 98.55, training_time = 477s
Epoch 89: A_NQ = 98.67, H_NQ = 981858, A_Q = 98.73, H_Q = 19451, zstd_ratio = 1.43%, sparse_ratio = 1.05%, sparsity = 96.95% , sparse_accuracy = 98.72, training_time = 478s
Epoch 90: A_NQ = 98.67, H_NQ = 981882, A_Q = 98.32, H_Q = 19633, zstd_ratio = 1.44%, sparse_ratio = 1.05%, sparsity = 96.91% , sparse_accuracy = 98.28, training_time = 476s
Epoch 91: A_NQ = 98.12, H_NQ = 981725, A_Q = 98.11, H_Q = 18908, zstd_ratio = 1.40%, sparse_ratio = 1.02%, sparsity = 97.05% , sparse_accuracy = 98.15, training_time = 475s
Epoch 92: A_NQ = 98.56, H_NQ = 981876, A_Q = 98.4, H_Q = 18864, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.07% , sparse_accuracy = 98.41, training_time = 582s
Epoch 93: A_NQ = 98.75, H_NQ = 981890, A_Q = 98.75, H_Q = 19595, zstd_ratio = 1.43%, sparse_ratio = 1.06%, sparsity = 96.90% , sparse_accuracy = 98.75, training_time = 484s
Epoch 94: A_NQ = 98.75, H_NQ = 981866, A_Q = 98.55, H_Q = 18818, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.08% , sparse_accuracy = 98.56, training_time = 497s
Epoch 95: A_NQ = 98.37, H_NQ = 981843, A_Q = 98.61, H_Q = 19103, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.02% , sparse_accuracy = 98.62, training_time = 467s
Epoch 96: A_NQ = 98.54, H_NQ = 981800, A_Q = 98.43, H_Q = 19042, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.03% , sparse_accuracy = 98.45, training_time = 466s
Epoch 97: A_NQ = 98.68, H_NQ = 981864, A_Q = 98.69, H_Q = 18221, zstd_ratio = 1.36%, sparse_ratio = 0.99%, sparsity = 97.21% , sparse_accuracy = 98.65, training_time = 467s
Epoch 98: A_NQ = 98.8, H_NQ = 981829, A_Q = 98.35, H_Q = 20216, zstd_ratio = 1.44%, sparse_ratio = 1.05%, sparsity = 96.75% , sparse_accuracy = 98.33, training_time = 469s
Epoch 99: A_NQ = 98.87, H_NQ = 981886, A_Q = 98.81, H_Q = 18789, zstd_ratio = 1.39%, sparse_ratio = 1.02%, sparsity = 97.08% , sparse_accuracy = 98.81, training_time = 467s
Epoch 100: A_NQ = 98.54, H_NQ = 981838, A_Q = 98.79, H_Q = 19454, zstd_ratio = 1.40%, sparse_ratio = 1.04%, sparsity = 96.93% , sparse_accuracy = 98.78, training_time = 468s
------------------------------------------------------------
delta = 6.0
Epoch 1: A_NQ = 96.02, H_NQ = 981898, A_Q = 95.17, H_Q = 55176, zstd_ratio = 3.46%, sparse_ratio = 2.76%, sparsity = 86.78% , sparse_accuracy = 95.07, training_time = 1057s
Epoch 2: A_NQ = 97.07, H_NQ = 981902, A_Q = 97.22, H_Q = 47326, zstd_ratio = 3.14%, sparse_ratio = 2.44%, sparsity = 89.63% , sparse_accuracy = 97.25, training_time = 661s
Epoch 3: A_NQ = 97.14, H_NQ = 981898, A_Q = 96.91, H_Q = 42377, zstd_ratio = 2.84%, sparse_ratio = 2.21%, sparsity = 91.22% , sparse_accuracy = 96.9, training_time = 675s
Epoch 4: A_NQ = 97.65, H_NQ = 981856, A_Q = 97.71, H_Q = 38409, zstd_ratio = 2.62%, sparse_ratio = 2.01%, sparsity = 92.38% , sparse_accuracy = 97.71, training_time = 676s
Epoch 5: A_NQ = 97.96, H_NQ = 981912, A_Q = 97.61, H_Q = 36059, zstd_ratio = 2.47%, sparse_ratio = 1.89%, sparsity = 93.01% , sparse_accuracy = 97.6, training_time = 682s
Epoch 6: A_NQ = 98.02, H_NQ = 981884, A_Q = 97.66, H_Q = 33830, zstd_ratio = 2.38%, sparse_ratio = 1.78%, sparsity = 93.62% , sparse_accuracy = 97.68, training_time = 663s
Epoch 7: A_NQ = 97.92, H_NQ = 981882, A_Q = 97.9, H_Q = 32367, zstd_ratio = 2.27%, sparse_ratio = 1.71%, sparsity = 94.00% , sparse_accuracy = 97.89, training_time = 695s
Epoch 8: A_NQ = 97.74, H_NQ = 981904, A_Q = 97.99, H_Q = 31651, zstd_ratio = 2.26%, sparse_ratio = 1.68%, sparsity = 94.19% , sparse_accuracy = 97.97, training_time = 648s
Epoch 9: A_NQ = 97.81, H_NQ = 981900, A_Q = 97.68, H_Q = 30621, zstd_ratio = 2.18%, sparse_ratio = 1.63%, sparsity = 94.46% , sparse_accuracy = 97.68, training_time = 634s
Epoch 10: A_NQ = 98.23, H_NQ = 981890, A_Q = 98.14, H_Q = 29579, zstd_ratio = 2.12%, sparse_ratio = 1.57%, sparsity = 94.72% , sparse_accuracy = 98.14, training_time = 488s
Epoch 11: A_NQ = 98.04, H_NQ = 981902, A_Q = 98.25, H_Q = 29371, zstd_ratio = 2.09%, sparse_ratio = 1.56%, sparsity = 94.77% , sparse_accuracy = 98.21, training_time = 873s
Epoch 12: A_NQ = 98.11, H_NQ = 981914, A_Q = 98.24, H_Q = 30095, zstd_ratio = 2.11%, sparse_ratio = 1.58%, sparsity = 94.57% , sparse_accuracy = 98.24, training_time = 505s
Epoch 13: A_NQ = 98.38, H_NQ = 981896, A_Q = 98.13, H_Q = 28762, zstd_ratio = 2.07%, sparse_ratio = 1.54%, sparsity = 94.91% , sparse_accuracy = 98.09, training_time = 507s
Epoch 14: A_NQ = 97.7, H_NQ = 981896, A_Q = 98.37, H_Q = 28395, zstd_ratio = 2.04%, sparse_ratio = 1.50%, sparsity = 94.99% , sparse_accuracy = 98.37, training_time = 457s
Epoch 15: A_NQ = 98.63, H_NQ = 981876, A_Q = 98.39, H_Q = 27236, zstd_ratio = 1.97%, sparse_ratio = 1.45%, sparsity = 95.28% , sparse_accuracy = 98.39, training_time = 520s
Epoch 16: A_NQ = 98.46, H_NQ = 981886, A_Q = 98.48, H_Q = 27766, zstd_ratio = 1.99%, sparse_ratio = 1.48%, sparsity = 95.14% , sparse_accuracy = 98.5, training_time = 455s
Epoch 17: A_NQ = 98.27, H_NQ = 981872, A_Q = 98.26, H_Q = 26420, zstd_ratio = 1.93%, sparse_ratio = 1.42%, sparsity = 95.47% , sparse_accuracy = 98.27, training_time = 457s
Epoch 18: A_NQ = 98.47, H_NQ = 981856, A_Q = 98.53, H_Q = 25852, zstd_ratio = 1.89%, sparse_ratio = 1.39%, sparsity = 95.61% , sparse_accuracy = 98.49, training_time = 531s
Epoch 19: A_NQ = 98.2, H_NQ = 981862, A_Q = 98.65, H_Q = 25965, zstd_ratio = 1.90%, sparse_ratio = 1.39%, sparsity = 95.57% , sparse_accuracy = 98.63, training_time = 456s
Epoch 20: A_NQ = 98.5, H_NQ = 981894, A_Q = 98.32, H_Q = 25613, zstd_ratio = 1.88%, sparse_ratio = 1.37%, sparsity = 95.66% , sparse_accuracy = 98.33, training_time = 454s
Epoch 21: A_NQ = 98.13, H_NQ = 981882, A_Q = 98.23, H_Q = 26217, zstd_ratio = 1.90%, sparse_ratio = 1.41%, sparsity = 95.51% , sparse_accuracy = 98.21, training_time = 528s
