nohup: ignoring input
=================================================================
==================== PARAMETER CONFIGURATION ====================
=================================================================
model=LeNet5_Original (rotated)
criterion=CrossEntropy
C=64
lr=0.001
lambda_reg=0.0002
alpha=0.5
[T1=lambda_reg*alpha=0.0001]
[T2=lambda_reg*(1-alpha)=0.0001]
subgradient_step=100000.0
w0=-0.031
r=2
bucket_zero=32
BestQuantization_target_acc=99.8
final_target_acc=99.7
target_zstd_ratio=0.0179
min_xi=0
max_xi=1
upper_c=1663370
lower_c=0.01
c1=10
c2=1000
first_best_indices=20
accuracy_tollerance=0.2
zeta=50000
l=0.5
n_epochs=100
max_iterations=15
train_optimizer=ADAM
entropy_optimizer=FISTA
pruning=Y
QuantizationType=center
sparsity_threshold=0.001
------------------------------------------------------------
delta = 6.3
Epoch 1: A_NQ = 95.61, H_NQ = 981906, A_Q = 96.4, H_Q = 53085, zstd_ratio = 3.50%, sparse_ratio = 2.73%, sparsity = 87.32% , sparse_accuracy = 96.4, training_time = 1397s
Epoch 12: A_NQ = 98.28, H_NQ = 981904, A_Q = 97.83, H_Q = 23464, zstd_ratio = 1.76%, sparse_ratio = 1.27%, sparsity = 96.16% , sparse_accuracy = 97.84, training_time = 632s
Epoch 13: A_NQ = 98.03, H_NQ = 981898, A_Q = 98.46, H_Q = 22494, zstd_ratio = 1.69%, sparse_ratio = 1.23%, sparsity = 96.36% , sparse_accuracy = 98.44, training_time = 614s
Epoch 14: A_NQ = 98.24, H_NQ = 981876, A_Q = 98.46, H_Q = 21666, zstd_ratio = 1.64%, sparse_ratio = 1.19%, sparsity = 96.54% , sparse_accuracy = 98.47, training_time = 621s
Epoch 15: A_NQ = 98.52, H_NQ = 981884, A_Q = 98.47, H_Q = 21580, zstd_ratio = 1.63%, sparse_ratio = 1.19%, sparsity = 96.55% , sparse_accuracy = 98.49, training_time = 532s
Epoch 16: A_NQ = 98.4, H_NQ = 981886, A_Q = 98.56, H_Q = 21250, zstd_ratio = 1.61%, sparse_ratio = 1.17%, sparsity = 96.62% , sparse_accuracy = 98.57, training_time = 535s
Epoch 17: A_NQ = 98.51, H_NQ = 981868, A_Q = 98.2, H_Q = 20996, zstd_ratio = 1.59%, sparse_ratio = 1.16%, sparsity = 96.67% , sparse_accuracy = 98.19, training_time = 576s
Epoch 18: A_NQ = 97.75, H_NQ = 981902, A_Q = 98.17, H_Q = 21358, zstd_ratio = 1.61%, sparse_ratio = 1.17%, sparsity = 96.58% , sparse_accuracy = 98.19, training_time = 554s
Epoch 19: A_NQ = 98.56, H_NQ = 981826, A_Q = 98.4, H_Q = 20582, zstd_ratio = 1.56%, sparse_ratio = 1.13%, sparsity = 96.75% , sparse_accuracy = 98.4, training_time = 589s
Epoch 20: A_NQ = 98.2, H_NQ = 981862, A_Q = 98.34, H_Q = 20592, zstd_ratio = 1.57%, sparse_ratio = 1.14%, sparsity = 96.74% , sparse_accuracy = 98.33, training_time = 545s
Epoch 21: A_NQ = 98.37, H_NQ = 981604, A_Q = 98.37, H_Q = 19806, zstd_ratio = 1.51%, sparse_ratio = 1.10%, sparsity = 96.91% , sparse_accuracy = 98.36, training_time = 448s
Epoch 22: A_NQ = 98.11, H_NQ = 981898, A_Q = 98.35, H_Q = 20349, zstd_ratio = 1.56%, sparse_ratio = 1.13%, sparsity = 96.78% , sparse_accuracy = 98.37, training_time = 797s
Epoch 23: A_NQ = 98.36, H_NQ = 981878, A_Q = 98.34, H_Q = 19977, zstd_ratio = 1.53%, sparse_ratio = 1.11%, sparsity = 96.87% , sparse_accuracy = 98.31, training_time = 576s
Epoch 24: A_NQ = 98.53, H_NQ = 981828, A_Q = 98.63, H_Q = 19569, zstd_ratio = 1.53%, sparse_ratio = 1.09%, sparsity = 96.95% , sparse_accuracy = 98.63, training_time = 585s
Epoch 25: A_NQ = 98.45, H_NQ = 981898, A_Q = 98.39, H_Q = 19633, zstd_ratio = 1.52%, sparse_ratio = 1.09%, sparsity = 96.94% , sparse_accuracy = 98.38, training_time = 605s
Epoch 26: A_NQ = 98.39, H_NQ = 981848, A_Q = 98.4, H_Q = 19690, zstd_ratio = 1.54%, sparse_ratio = 1.10%, sparsity = 96.92% , sparse_accuracy = 98.4, training_time = 560s
Epoch 27: A_NQ = 98.62, H_NQ = 981876, A_Q = 98.47, H_Q = 19918, zstd_ratio = 1.53%, sparse_ratio = 1.10%, sparsity = 96.87% , sparse_accuracy = 98.45, training_time = 502s
Epoch 28: A_NQ = 98.66, H_NQ = 981856, A_Q = 98.72, H_Q = 19576, zstd_ratio = 1.51%, sparse_ratio = 1.09%, sparsity = 96.94% , sparse_accuracy = 98.72, training_time = 538s
Epoch 29: A_NQ = 98.54, H_NQ = 981884, A_Q = 98.58, H_Q = 19311, zstd_ratio = 1.49%, sparse_ratio = 1.08%, sparsity = 97.00% , sparse_accuracy = 98.59, training_time = 493s
Epoch 30: A_NQ = 98.08, H_NQ = 981890, A_Q = 98.41, H_Q = 19925, zstd_ratio = 1.52%, sparse_ratio = 1.10%, sparsity = 96.86% , sparse_accuracy = 98.41, training_time = 468s
Epoch 31: A_NQ = 98.47, H_NQ = 981846, A_Q = 98.47, H_Q = 19103, zstd_ratio = 1.47%, sparse_ratio = 1.07%, sparsity = 97.04% , sparse_accuracy = 98.47, training_time = 472s
Epoch 32: A_NQ = 98.62, H_NQ = 981880, A_Q = 98.64, H_Q = 18765, zstd_ratio = 1.47%, sparse_ratio = 1.05%, sparsity = 97.11% , sparse_accuracy = 98.64, training_time = 465s
Epoch 33: A_NQ = 98.15, H_NQ = 981842, A_Q = 98.3, H_Q = 18713, zstd_ratio = 1.45%, sparse_ratio = 1.06%, sparsity = 97.12% , sparse_accuracy = 98.28, training_time = 504s
Epoch 34: A_NQ = 98.49, H_NQ = 981842, A_Q = 98.67, H_Q = 19144, zstd_ratio = 1.49%, sparse_ratio = 1.07%, sparsity = 97.02% , sparse_accuracy = 98.7, training_time = 514s
Epoch 35: A_NQ = 98.1, H_NQ = 981888, A_Q = 98.35, H_Q = 19924, zstd_ratio = 1.52%, sparse_ratio = 1.10%, sparsity = 96.85% , sparse_accuracy = 98.37, training_time = 487s
Epoch 36: A_NQ = 98.41, H_NQ = 981852, A_Q = 98.58, H_Q = 18705, zstd_ratio = 1.45%, sparse_ratio = 1.05%, sparsity = 97.12% , sparse_accuracy = 98.58, training_time = 463s
Epoch 37: A_NQ = 98.72, H_NQ = 981836, A_Q = 98.36, H_Q = 19019, zstd_ratio = 1.47%, sparse_ratio = 1.06%, sparsity = 97.04% , sparse_accuracy = 98.38, training_time = 509s
Epoch 38: A_NQ = 98.41, H_NQ = 981884, A_Q = 98.71, H_Q = 18196, zstd_ratio = 1.42%, sparse_ratio = 1.02%, sparsity = 97.22% , sparse_accuracy = 98.71, training_time = 538s
Epoch 39: A_NQ = 98.43, H_NQ = 981864, A_Q = 98.45, H_Q = 18279, zstd_ratio = 1.42%, sparse_ratio = 1.03%, sparsity = 97.20% , sparse_accuracy = 98.44, training_time = 636s
Epoch 40: A_NQ = 98.2, H_NQ = 981714, A_Q = 98.42, H_Q = 18842, zstd_ratio = 1.47%, sparse_ratio = 1.06%, sparsity = 97.08% , sparse_accuracy = 98.41, training_time = 545s
Epoch 41: A_NQ = 98.24, H_NQ = 981876, A_Q = 98.52, H_Q = 19039, zstd_ratio = 1.47%, sparse_ratio = 1.06%, sparsity = 97.03% , sparse_accuracy = 98.5, training_time = 456s
Epoch 42: A_NQ = 98.52, H_NQ = 981874, A_Q = 98.72, H_Q = 18888, zstd_ratio = 1.46%, sparse_ratio = 1.05%, sparsity = 97.06% , sparse_accuracy = 98.71, training_time = 514s
Epoch 43: A_NQ = 98.55, H_NQ = 981910, A_Q = 98.56, H_Q = 18579, zstd_ratio = 1.44%, sparse_ratio = 1.04%, sparsity = 97.13% , sparse_accuracy = 98.57, training_time = 517s
Epoch 44: A_NQ = 98.46, H_NQ = 981840, A_Q = 98.39, H_Q = 18924, zstd_ratio = 1.45%, sparse_ratio = 1.06%, sparsity = 97.05% , sparse_accuracy = 98.39, training_time = 526s
Epoch 45: A_NQ = 98.64, H_NQ = 981812, A_Q = 98.43, H_Q = 19159, zstd_ratio = 1.47%, sparse_ratio = 1.07%, sparsity = 97.00% , sparse_accuracy = 98.42, training_time = 523s
Epoch 46: A_NQ = 98.59, H_NQ = 981880, A_Q = 98.74, H_Q = 18489, zstd_ratio = 1.42%, sparse_ratio = 1.03%, sparsity = 97.14% , sparse_accuracy = 98.73, training_time = 546s
Epoch 47: A_NQ = 98.48, H_NQ = 981878, A_Q = 98.56, H_Q = 17898, zstd_ratio = 1.40%, sparse_ratio = 1.01%, sparsity = 97.27% , sparse_accuracy = 98.51, training_time = 471s
Epoch 48: A_NQ = 98.39, H_NQ = 981882, A_Q = 98.63, H_Q = 17986, zstd_ratio = 1.42%, sparse_ratio = 1.02%, sparsity = 97.25% , sparse_accuracy = 98.62, training_time = 482s
Epoch 49: A_NQ = 98.69, H_NQ = 981866, A_Q = 98.56, H_Q = 18204, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.20% , sparse_accuracy = 98.57, training_time = 488s
Epoch 50: A_NQ = 98.54, H_NQ = 981904, A_Q = 98.31, H_Q = 18481, zstd_ratio = 1.42%, sparse_ratio = 1.03%, sparsity = 97.14% , sparse_accuracy = 98.32, training_time = 465s
Epoch 51: A_NQ = 97.72, H_NQ = 981642, A_Q = 98.06, H_Q = 18858, zstd_ratio = 1.44%, sparse_ratio = 1.05%, sparsity = 97.04% , sparse_accuracy = 98.06, training_time = 519s
Epoch 52: A_NQ = 98.51, H_NQ = 981822, A_Q = 98.53, H_Q = 18647, zstd_ratio = 1.42%, sparse_ratio = 1.04%, sparsity = 97.09% , sparse_accuracy = 98.52, training_time = 481s
Epoch 53: A_NQ = 98.54, H_NQ = 981810, A_Q = 98.66, H_Q = 18272, zstd_ratio = 1.41%, sparse_ratio = 1.02%, sparsity = 97.18% , sparse_accuracy = 98.65, training_time = 472s
Epoch 54: A_NQ = 98.33, H_NQ = 981866, A_Q = 98.3, H_Q = 18998, zstd_ratio = 1.45%, sparse_ratio = 1.04%, sparsity = 97.02% , sparse_accuracy = 98.26, training_time = 489s
Epoch 55: A_NQ = 98.69, H_NQ = 981858, A_Q = 98.69, H_Q = 18247, zstd_ratio = 1.42%, sparse_ratio = 1.03%, sparsity = 97.19% , sparse_accuracy = 98.69, training_time = 479s
Epoch 56: A_NQ = 98.73, H_NQ = 981876, A_Q = 98.73, H_Q = 17378, zstd_ratio = 1.36%, sparse_ratio = 0.99%, sparsity = 97.37% , sparse_accuracy = 98.73, training_time = 465s
Epoch 57: A_NQ = 98.63, H_NQ = 981870, A_Q = 98.75, H_Q = 17843, zstd_ratio = 1.37%, sparse_ratio = 1.00%, sparsity = 97.27% , sparse_accuracy = 98.75, training_time = 545s
Epoch 58: A_NQ = 98.58, H_NQ = 981888, A_Q = 98.73, H_Q = 18471, zstd_ratio = 1.40%, sparse_ratio = 1.03%, sparsity = 97.13% , sparse_accuracy = 98.72, training_time = 551s
Epoch 59: A_NQ = 98.45, H_NQ = 981896, A_Q = 98.82, H_Q = 17664, zstd_ratio = 1.39%, sparse_ratio = 0.99%, sparsity = 97.31% , sparse_accuracy = 98.83, training_time = 576s
Epoch 60: A_NQ = 98.56, H_NQ = 981894, A_Q = 98.61, H_Q = 18400, zstd_ratio = 1.41%, sparse_ratio = 1.02%, sparsity = 97.15% , sparse_accuracy = 98.63, training_time = 463s
Epoch 61: A_NQ = 98.6, H_NQ = 981884, A_Q = 98.66, H_Q = 18692, zstd_ratio = 1.42%, sparse_ratio = 1.04%, sparsity = 97.08% , sparse_accuracy = 98.62, training_time = 514s
Epoch 62: A_NQ = 98.47, H_NQ = 981874, A_Q = 98.66, H_Q = 18126, zstd_ratio = 1.38%, sparse_ratio = 1.01%, sparsity = 97.20% , sparse_accuracy = 98.67, training_time = 477s
Epoch 63: A_NQ = 98.52, H_NQ = 981770, A_Q = 98.63, H_Q = 17856, zstd_ratio = 1.38%, sparse_ratio = 0.99%, sparsity = 97.26% , sparse_accuracy = 98.66, training_time = 522s
Epoch 64: A_NQ = 98.65, H_NQ = 981834, A_Q = 98.64, H_Q = 18000, zstd_ratio = 1.37%, sparse_ratio = 1.00%, sparsity = 97.22% , sparse_accuracy = 98.64, training_time = 525s
Epoch 65: A_NQ = 98.52, H_NQ = 981880, A_Q = 98.57, H_Q = 17004, zstd_ratio = 1.33%, sparse_ratio = 0.96%, sparsity = 97.43% , sparse_accuracy = 98.56, training_time = 531s
Epoch 66: A_NQ = 98.72, H_NQ = 981664, A_Q = 98.79, H_Q = 17165, zstd_ratio = 1.36%, sparse_ratio = 0.97%, sparsity = 97.40% , sparse_accuracy = 98.76, training_time = 541s
Epoch 67: A_NQ = 98.32, H_NQ = 981780, A_Q = 98.64, H_Q = 17936, zstd_ratio = 1.37%, sparse_ratio = 1.00%, sparsity = 97.24% , sparse_accuracy = 98.63, training_time = 490s
Epoch 68: A_NQ = 98.14, H_NQ = 981848, A_Q = 98.24, H_Q = 17797, zstd_ratio = 1.38%, sparse_ratio = 0.99%, sparsity = 97.27% , sparse_accuracy = 98.25, training_time = 487s
Epoch 69: A_NQ = 97.7, H_NQ = 981427, A_Q = 98.59, H_Q = 17468, zstd_ratio = 1.36%, sparse_ratio = 0.97%, sparsity = 97.33% , sparse_accuracy = 98.59, training_time = 482s
Epoch 70: A_NQ = 98.71, H_NQ = 981872, A_Q = 98.58, H_Q = 17904, zstd_ratio = 1.38%, sparse_ratio = 0.99%, sparsity = 97.24% , sparse_accuracy = 98.58, training_time = 473s
Epoch 71: A_NQ = 98.46, H_NQ = 981826, A_Q = 98.54, H_Q = 17908, zstd_ratio = 1.37%, sparse_ratio = 0.99%, sparsity = 97.24% , sparse_accuracy = 98.54, training_time = 492s
Epoch 72: A_NQ = 97.94, H_NQ = 981756, A_Q = 98.2, H_Q = 16994, zstd_ratio = 1.32%, sparse_ratio = 0.96%, sparsity = 97.43% , sparse_accuracy = 98.21, training_time = 486s
Epoch 73: A_NQ = 98.51, H_NQ = 981880, A_Q = 98.68, H_Q = 17721, zstd_ratio = 1.36%, sparse_ratio = 0.99%, sparsity = 97.27% , sparse_accuracy = 98.68, training_time = 449s
Epoch 74: A_NQ = 98.49, H_NQ = 981858, A_Q = 98.65, H_Q = 17236, zstd_ratio = 1.34%, sparse_ratio = 0.97%, sparsity = 97.38% , sparse_accuracy = 98.65, training_time = 491s
Epoch 75: A_NQ = 98.56, H_NQ = 981894, A_Q = 98.47, H_Q = 17514, zstd_ratio = 1.35%, sparse_ratio = 0.97%, sparsity = 97.31% , sparse_accuracy = 98.48, training_time = 504s
Epoch 76: A_NQ = 98.61, H_NQ = 981798, A_Q = 98.31, H_Q = 17439, zstd_ratio = 1.33%, sparse_ratio = 0.96%, sparsity = 97.34% , sparse_accuracy = 98.28, training_time = 484s
Epoch 77: A_NQ = 98.35, H_NQ = 981884, A_Q = 98.57, H_Q = 17741, zstd_ratio = 1.37%, sparse_ratio = 0.98%, sparsity = 97.26% , sparse_accuracy = 98.56, training_time = 461s
Epoch 78: A_NQ = 98.58, H_NQ = 981846, A_Q = 98.46, H_Q = 17115, zstd_ratio = 1.33%, sparse_ratio = 0.95%, sparsity = 97.40% , sparse_accuracy = 98.44, training_time = 460s
Epoch 79: A_NQ = 98.33, H_NQ = 981890, A_Q = 98.59, H_Q = 17518, zstd_ratio = 1.36%, sparse_ratio = 0.97%, sparsity = 97.31% , sparse_accuracy = 98.58, training_time = 466s
Epoch 80: A_NQ = 98.18, H_NQ = 981796, A_Q = 98.52, H_Q = 17916, zstd_ratio = 1.38%, sparse_ratio = 0.99%, sparsity = 97.23% , sparse_accuracy = 98.48, training_time = 468s
Epoch 81: A_NQ = 98.36, H_NQ = 981886, A_Q = 98.49, H_Q = 17419, zstd_ratio = 1.34%, sparse_ratio = 0.97%, sparsity = 97.33% , sparse_accuracy = 98.47, training_time = 456s
Epoch 82: A_NQ = 98.5, H_NQ = 981857, A_Q = 98.39, H_Q = 17305, zstd_ratio = 1.33%, sparse_ratio = 0.97%, sparsity = 97.35% , sparse_accuracy = 98.38, training_time = 470s
Epoch 83: A_NQ = 98.51, H_NQ = 981898, A_Q = 98.43, H_Q = 17655, zstd_ratio = 1.35%, sparse_ratio = 0.98%, sparsity = 97.27% , sparse_accuracy = 98.46, training_time = 459s
Epoch 84: A_NQ = 97.99, H_NQ = 981774, A_Q = 98.57, H_Q = 17026, zstd_ratio = 1.31%, sparse_ratio = 0.96%, sparsity = 97.41% , sparse_accuracy = 98.57, training_time = 457s
Epoch 85: A_NQ = 98.62, H_NQ = 981806, A_Q = 98.49, H_Q = 17545, zstd_ratio = 1.34%, sparse_ratio = 0.97%, sparsity = 97.30% , sparse_accuracy = 98.49, training_time = 467s
Epoch 86: A_NQ = 98.65, H_NQ = 981805, A_Q = 98.65, H_Q = 17215, zstd_ratio = 1.31%, sparse_ratio = 0.95%, sparsity = 97.37% , sparse_accuracy = 98.63, training_time = 461s
Epoch 87: A_NQ = 98.57, H_NQ = 981868, A_Q = 98.66, H_Q = 17368, zstd_ratio = 1.33%, sparse_ratio = 0.97%, sparsity = 97.33% , sparse_accuracy = 98.64, training_time = 460s
Epoch 88: A_NQ = 98.42, H_NQ = 981833, A_Q = 98.3, H_Q = 16828, zstd_ratio = 1.30%, sparse_ratio = 0.94%, sparsity = 97.45% , sparse_accuracy = 98.3, training_time = 459s
Epoch 89: A_NQ = 98.73, H_NQ = 981806, A_Q = 98.68, H_Q = 16635, zstd_ratio = 1.28%, sparse_ratio = 0.94%, sparsity = 97.49% , sparse_accuracy = 98.68, training_time = 457s
Epoch 90: A_NQ = 98.41, H_NQ = 981858, A_Q = 98.62, H_Q = 17466, zstd_ratio = 1.31%, sparse_ratio = 0.96%, sparsity = 97.30% , sparse_accuracy = 98.63, training_time = 456s
Epoch 91: A_NQ = 98.63, H_NQ = 981824, A_Q = 98.7, H_Q = 17785, zstd_ratio = 1.32%, sparse_ratio = 0.97%, sparsity = 97.24% , sparse_accuracy = 98.72, training_time = 456s
Epoch 92: A_NQ = 98.51, H_NQ = 981846, A_Q = 98.52, H_Q = 16909, zstd_ratio = 1.29%, sparse_ratio = 0.94%, sparsity = 97.42% , sparse_accuracy = 98.55, training_time = 455s
Epoch 93: A_NQ = 98.65, H_NQ = 981886, A_Q = 98.25, H_Q = 18154, zstd_ratio = 1.35%, sparse_ratio = 0.99%, sparsity = 97.15% , sparse_accuracy = 98.24, training_time = 456s
Epoch 94: A_NQ = 98.72, H_NQ = 981880, A_Q = 98.66, H_Q = 17563, zstd_ratio = 1.32%, sparse_ratio = 0.96%, sparsity = 97.28% , sparse_accuracy = 98.66, training_time = 498s
Epoch 95: A_NQ = 98.67, H_NQ = 981840, A_Q = 98.65, H_Q = 16757, zstd_ratio = 1.29%, sparse_ratio = 0.93%, sparsity = 97.46% , sparse_accuracy = 98.66, training_time = 519s
Epoch 96: A_NQ = 98.62, H_NQ = 981880, A_Q = 98.65, H_Q = 17215, zstd_ratio = 1.31%, sparse_ratio = 0.95%, sparsity = 97.35% , sparse_accuracy = 98.66, training_time = 526s
Epoch 97: A_NQ = 98.58, H_NQ = 981882, A_Q = 98.62, H_Q = 17781, zstd_ratio = 1.33%, sparse_ratio = 0.97%, sparsity = 97.24% , sparse_accuracy = 98.61, training_time = 532s
Epoch 98: A_NQ = 98.72, H_NQ = 981870, A_Q = 98.57, H_Q = 17084, zstd_ratio = 1.30%, sparse_ratio = 0.94%, sparsity = 97.38% , sparse_accuracy = 98.56, training_time = 475s
Epoch 99: A_NQ = 97.95, H_NQ = 981816, A_Q = 98.24, H_Q = 17255, zstd_ratio = 1.31%, sparse_ratio = 0.94%, sparsity = 97.35% , sparse_accuracy = 98.22, training_time = 461s
Epoch 100: A_NQ = 98.56, H_NQ = 981894, A_Q = 98.66, H_Q = 17310, zstd_ratio = 1.29%, sparse_ratio = 0.94%, sparsity = 97.33% , sparse_accuracy = 98.67, training_time = 513s
------------------------------------------------------------
delta = 5.6
Epoch 1: A_NQ = 96.67, H_NQ = 981900, A_Q = 96.43, H_Q = 55092, zstd_ratio = 3.66%, sparse_ratio = 2.86%, sparsity = 86.68% , sparse_accuracy = 96.42, training_time = 1549s
Epoch 2: A_NQ = 97.17, H_NQ = 981898, A_Q = 96.89, H_Q = 44611, zstd_ratio = 3.05%, sparse_ratio = 2.35%, sparsity = 90.44% , sparse_accuracy = 96.89, training_time = 887s
Epoch 3: A_NQ = 97.19, H_NQ = 981874, A_Q = 97.63, H_Q = 38490, zstd_ratio = 2.67%, sparse_ratio = 2.02%, sparsity = 92.36% , sparse_accuracy = 97.6, training_time = 456s
Epoch 4: A_NQ = 97.6, H_NQ = 981874, A_Q = 97.83, H_Q = 34260, zstd_ratio = 2.40%, sparse_ratio = 1.80%, sparsity = 93.54% , sparse_accuracy = 97.87, training_time = 453s
Epoch 5: A_NQ = 97.62, H_NQ = 981906, A_Q = 97.93, H_Q = 32410, zstd_ratio = 2.30%, sparse_ratio = 1.70%, sparsity = 94.02% , sparse_accuracy = 97.94, training_time = 454s
Epoch 6: A_NQ = 97.61, H_NQ = 981886, A_Q = 97.97, H_Q = 29934, zstd_ratio = 2.13%, sparse_ratio = 1.58%, sparsity = 94.64% , sparse_accuracy = 97.98, training_time = 453s
Epoch 7: A_NQ = 97.65, H_NQ = 981842, A_Q = 97.32, H_Q = 28747, zstd_ratio = 2.05%, sparse_ratio = 1.52%, sparsity = 94.93% , sparse_accuracy = 97.35, training_time = 451s
Epoch 8: A_NQ = 97.61, H_NQ = 981822, A_Q = 97.99, H_Q = 26907, zstd_ratio = 1.95%, sparse_ratio = 1.44%, sparsity = 95.39% , sparse_accuracy = 97.94, training_time = 447s
Epoch 9: A_NQ = 98.1, H_NQ = 981826, A_Q = 98.26, H_Q = 25997, zstd_ratio = 1.90%, sparse_ratio = 1.41%, sparsity = 95.59% , sparse_accuracy = 98.24, training_time = 446s
Epoch 10: A_NQ = 97.82, H_NQ = 981858, A_Q = 97.92, H_Q = 25582, zstd_ratio = 1.88%, sparse_ratio = 1.38%, sparsity = 95.67% , sparse_accuracy = 97.9, training_time = 447s
Epoch 11: A_NQ = 98.29, H_NQ = 981860, A_Q = 98.37, H_Q = 25116, zstd_ratio = 1.85%, sparse_ratio = 1.36%, sparsity = 95.79% , sparse_accuracy = 98.36, training_time = 447s
Epoch 12: A_NQ = 98.4, H_NQ = 981892, A_Q = 98.37, H_Q = 24500, zstd_ratio = 1.80%, sparse_ratio = 1.32%, sparsity = 95.91% , sparse_accuracy = 98.35, training_time = 447s
Epoch 13: A_NQ = 98.09, H_NQ = 981886, A_Q = 98.39, H_Q = 24044, zstd_ratio = 1.76%, sparse_ratio = 1.30%, sparsity = 96.02% , sparse_accuracy = 98.39, training_time = 447s
Epoch 14: A_NQ = 98.47, H_NQ = 981864, A_Q = 98.4, H_Q = 23441, zstd_ratio = 1.74%, sparse_ratio = 1.27%, sparsity = 96.16% , sparse_accuracy = 98.4, training_time = 447s
Epoch 15: A_NQ = 97.96, H_NQ = 981876, A_Q = 97.87, H_Q = 22567, zstd_ratio = 1.69%, sparse_ratio = 1.24%, sparsity = 96.36% , sparse_accuracy = 97.89, training_time = 448s
Epoch 16: A_NQ = 98.44, H_NQ = 981848, A_Q = 98.23, H_Q = 22032, zstd_ratio = 1.66%, sparse_ratio = 1.22%, sparsity = 96.47% , sparse_accuracy = 98.22, training_time = 448s
Epoch 17: A_NQ = 98.46, H_NQ = 981894, A_Q = 98.28, H_Q = 22884, zstd_ratio = 1.72%, sparse_ratio = 1.25%, sparsity = 96.27% , sparse_accuracy = 98.28, training_time = 449s
Epoch 18: A_NQ = 98.03, H_NQ = 981914, A_Q = 98.53, H_Q = 22660, zstd_ratio = 1.71%, sparse_ratio = 1.24%, sparsity = 96.32% , sparse_accuracy = 98.53, training_time = 447s
Epoch 19: A_NQ = 98.32, H_NQ = 981894, A_Q = 98.49, H_Q = 21953, zstd_ratio = 1.67%, sparse_ratio = 1.21%, sparsity = 96.47% , sparse_accuracy = 98.49, training_time = 448s
Epoch 20: A_NQ = 98.27, H_NQ = 981882, A_Q = 98.29, H_Q = 22479, zstd_ratio = 1.68%, sparse_ratio = 1.23%, sparsity = 96.35% , sparse_accuracy = 98.32, training_time = 448s
Epoch 21: A_NQ = 98.33, H_NQ = 981892, A_Q = 98.41, H_Q = 22041, zstd_ratio = 1.67%, sparse_ratio = 1.21%, sparsity = 96.45% , sparse_accuracy = 98.42, training_time = 448s
